N,L,K_c,Target_Kc,Alpha,Min_Rho,Sign_Flips,Oscillation,Runtime
4,2,1.1107207303071145,6.283185307179586,0.17677669462301723,-0.8143475040899276,0,0,0.008194923400878906
9,3,1.1107207303071145,4.1887902047863905,0.2651650419345259,-0.2714491680299759,0,0,0.012009859085083008
16,4,0.5553603675497238,3.141592653589793,0.17677669538574076,-0.40717375204496375,2,1,0.016232967376708984
25,5,0.5553603675497238,2.5132741228718345,0.22097086923217596,-0.48860850245395654,2,1,0.024718046188354492
36,6,0.37024024024081587,2.0943951023931953,0.17677669309757013,-0.6136199085624309,3,1,0.024987220764160156
64,8,0.27768018617102846,1.5707963267948966,0.17677669691118775,-0.6107606280674456,4,1,0.036509037017822266
100,10,0.2221441460614228,1.2566370614359172,0.17677669462301715,-0.651478003271942,6,1,0.05382490158081055
256,16,0.1388400906893476,0.7853981633974483,0.17677669386029365,-0.7125540660786864,10,1,0.1504812240600586
1024,32,0.06942004774084043,0.39269908169872414,0.17677669996208187,-0.7634507850843069,21,1,2.3392300605773926
4096,64,0.03471002147425359,0.19634954084936207,0.17677668775850544,-0.7888991445871172,42,1,91.47612977027893
16384,128,0.017355008340960168,0.09817477042468103,0.17677666335135261,-0.8016233243385222,85,1,4007.932472229004
